type,name,price,lat,lon,url
sushi,이노시시,6,37.562562,126.926975,http://hsong.egloos.com/3126336
sushi,스시효,8.8,37.522061,127.041867,http://hsong.egloos.com/3402467
sushi,정준호 스시,7,37.487505,126.88886,http://hsong.egloos.com/3383473
sushi,오가와,6,37.571923,126.974303,http://hsong.egloos.com/3421468
sushi,스시시로,5,37.548968,126.921155,http://hsong.egloos.com/3098726
sushi,스시조,25,37.564378,126.980085,http://egloos.zum.com/redfish/v/1217180
sushi,슈치쿠,23,37.519465,126.939833,http://redfish.egloos.com/1354547
sushi,스시초희,22,37.523725,127.035956,http://redfish.egloos.com/1360892
sushi,스시타쿠,11,37.5272764,127.0352359,http://redfish.egloos.com/1348840
sushi,아리아께,22,37.556978,127.005914,http://redfish.egloos.com/1397479
sushi,스시하꼬,9,37.4897,126.993889,http://redfish.egloos.com/1313557
sushi,스시타츠,22,37.518042,127.028216,http://redfish.egloos.com/1393625
sushi,스시코우지,18,37.522897,127.039834,http://redfish.egloos.com/1364412
sushi,코지마,35,37.5257419,127.0419814,http://blog.naver.com/mardukas/220178511890
sushi,기꾸,4.5,37.517925,126.982401,http://egloos.zum.com/hsong/v/3317958
sushi,스시선수,20,37.522832,127.036421,http://redfish.egloos.com/1375236
sushi,스시산원,14,37.5064703,127.0509131,http://redfish.egloos.com/1379800
sushi,미치루,8,37.519318,126.93142,http://egloos.zum.com/redfish/v/1357195
sushi,가네끼스시,4,37.491172,126.9249803,http://redfish.egloos.com/1368486
sushi,려,4,37.4817613,126.9514527,http://redfish.egloos.com/1406658
